course_name,platform,skills_taught,course_url,difficulty,rating,predicted_rating_rf,predicted_rating_catboost
Analytical Solutions to Common Healthcare Problems,"University of California, Davis",[],https://www.coursera.org/learn/analytical-solutions-common-healthcare-problems,Intermediate level,4.6,3.725000000000009,4.327617832721648
Understanding Einstein: The Special Theory of Relativity,Stanford University,[],https://www.coursera.org/learn/einstein-relativity,Beginner level,4.9,4.209499999999992,4.371681575102005
JavaScript for Beginners Specialization,"University of California, Davis","['web interactivty', 'Jquery', 'Data Manipulation', 'JavaScript', 'web interactivty', 'Jquery', 'Data Manipulation', 'JavaScript']",https://www.coursera.org/specializations/javascript-beginner,Beginner level,4.7,4.645,4.907069959036107
"Security, Compliance, and Governance for AI Solutions",Amazon Web Services,[],https://www.coursera.org/learn/security-compliance-and-governance-for-ai-solutions,Beginner level,0.0,0.47550000000000003,0.18331950578677425
Understanding Fitness Programming,National Academy of Sports Medicine,"['Cardiovascular training', 'Resistance training', 'Core training', 'Fitness programming', 'Flexibility training']",https://www.coursera.org/learn/understanding-fitness-programming,Beginner level,0.0,1.0395,0.640712263962699
Educating Deaf Children: Becoming an Empowered Teacher,University of Cape Town,"['Deaf culture and community', 'language-rich environment', 'empowered teacher', 'accommodations and modifications']",https://www.coursera.org/learn/educating-deaf-children,Beginner level,4.9,4.730999999999994,4.6553768402726625
Scandinavian Film and Television,University of Copenhagen,[],https://www.coursera.org/learn/scandinavian-movies-tv,Beginner level,4.7,4.6515,4.490377145219803
Foundations of Music Promotion & Branding,GRAMMY GO,"['Personal Branding', 'Social Media', 'Promotion (Marketing)', 'strategy', 'Customer analysis', 'Media Strategy and planning', 'Marketing', 'Digital Marketing', 'Promotion', 'Promotional Strategies', 'Branding']",https://www.coursera.org/learn/foundations-of-music-promotion-branding,Beginner level,0.0,1.2674999999999996,0.5915823357069145
Photovoltaic Systems,Technical University of Denmark (DTU),"['Renewable Energy', 'Photovoltaics', 'PV system design', 'The Solar Resource', 'Energy Yield Simulations']",https://www.coursera.org/learn/photovoltaic-systems,Intermediate level,4.6,4.095500000000007,4.29375814702877
SEL for Students: A Path to Social Emotional Well-Being,University of Colorado Boulder,[],https://www.coursera.org/learn/sel-for-students,Advanced level,4.8,4.32899999999999,4.40626230850296
Inclusive Leadership: The Power of Workplace Diversity,University of Colorado System,"['Diversity (Business)', 'self-awareness', 'Communication', 'Emotional Intelligence', 'inclusive leadership']",https://www.coursera.org/learn/inclusiveleadership,Beginner level,4.9,3.6950000000000007,4.180133895580777
Averaged-Switch Modeling and Simulation,University of Colorado Boulder,[],https://www.coursera.org/learn/averagedswitchmodelingandsimulation,Intermediate level,4.7,4.129500000000002,4.0149037989109395
Problem Solving Using Computational Thinking,University of Michigan,"['Computer Programming', 'Computational Thinking']",https://www.coursera.org/learn/compthinking,Beginner level,4.6,4.368500000000008,4.323890966203514
"Oralpha: Literacy for new citizens, a course for trainers",Universitat Autònoma de Barcelona,[],https://www.coursera.org/learn/oralpha-literacy-for-new-citizens-for-trainers,Beginner level,0.0,1.0324999999999993,0.9461125086767836
Strategies for Cloud Security Risk Management,Google Cloud,"['Understanding compliance standards', 'Implementing security controls', 'Risk management frameworks', 'Audit preparation', 'Framework interpretation']",https://www.coursera.org/learn/strategies-for-cloud-security-risk-management,Beginner level,4.6,3.889500000000009,4.358848613191999
